"Date","Price","Open","High","Low","Change %"
"Jun 29, 1984","6.4128","6.4128","6.4128","6.4128","0.15%"
"Jun 28, 1984","6.4032","6.4032","6.4032","6.4032","0.13%"
"Jun 27, 1984","6.3952","6.3952","6.3952","6.3952","0.79%"
"Jun 26, 1984","6.3448","6.3448","6.3448","6.3448","0.47%"
"Jun 25, 1984","6.3154","6.3154","6.3154","6.3154","-0.30%"
"Jun 22, 1984","6.3341","6.3341","6.3341","6.3341","0.00%"
"Jun 21, 1984","6.3341","6.3341","6.3341","6.3341","0.05%"
"Jun 20, 1984","6.3311","6.3311","6.3311","6.3311","0.23%"
"Jun 19, 1984","6.3167","6.3167","6.3167","6.3167","-0.29%"
"Jun 18, 1984","6.3353","6.3353","6.3353","6.3353","-0.12%"
"Jun 15, 1984","6.3429","6.3429","6.3429","6.3429","-0.36%"
"Jun 14, 1984","6.3659","6.3659","6.3659","6.3659","0.24%"
"Jun 13, 1984","6.3505","6.3505","6.3505","6.3505","-0.58%"
"Jun 12, 1984","6.3873","6.3873","6.3873","6.3873","-0.33%"
"Jun 11, 1984","6.4087","6.4087","6.4087","6.4087","0.58%"
"Jun 08, 1984","6.3717","6.3717","6.3717","6.3717","-0.36%"
"Jun 07, 1984","6.3949","6.3949","6.3949","6.3949","0.11%"
"Jun 06, 1984","6.3879","6.3879","6.3879","6.3879","-0.49%"
"Jun 05, 1984","6.4196","6.4196","6.4196","6.4196","0.73%"
"Jun 04, 1984","6.3733","6.3733","6.3733","6.3733","-0.31%"
"Jun 01, 1984","6.3928","6.3928","6.3928","6.3928","0.34%"
"May 31, 1984","6.3711","6.3711","6.3711","6.3711","-0.24%"
"May 30, 1984","6.3862","6.3862","6.3862","6.3862","0.41%"
"May 29, 1984","6.3601","6.3601","6.3601","6.3601","-0.27%"
"May 25, 1984","6.3773","6.3773","6.3773","6.3773","1.28%"
"May 24, 1984","6.2965","6.2965","6.2965","6.2965","-1.55%"
"May 23, 1984","6.3959","6.3959","6.3959","6.3959","0.57%"
"May 22, 1984","6.3594","6.3594","6.3594","6.3594","0.07%"
"May 21, 1984","6.3551","6.3551","6.3551","6.3551","-0.04%"
"May 18, 1984","6.3576","6.3576","6.3576","6.3576","-0.11%"
"May 17, 1984","6.3649","6.3649","6.3649","6.3649","-0.03%"
"May 16, 1984","6.3665","6.3665","6.3665","6.3665","0.28%"
"May 15, 1984","6.3487","6.3487","6.3487","6.3487","-0.15%"
"May 14, 1984","6.3580","6.3580","6.3580","6.3580","0.55%"
"May 11, 1984","6.3230","6.3230","6.3230","6.3230","-0.13%"
"May 10, 1984","6.3311","6.3311","6.3311","6.3311","0.21%"
"May 09, 1984","6.3176","6.3176","6.3176","6.3176","0.29%"
"May 08, 1984","6.2991","6.2991","6.2991","6.2991","-1.08%"
