"Date","Price","Open","High","Low","Change %"
"Apr 17, 1996","4.7893","4.7879","4.8213","4.7555","-0.05%"
"Apr 16, 1996","4.7917","4.8105","4.8127","4.7590","-0.36%"
"Apr 15, 1996","4.8088","4.8007","4.8358","4.7936","0.34%"
"Apr 12, 1996","4.7924","4.7599","4.8029","4.7599","0.15%"
"Apr 11, 1996","4.7854","4.7626","4.8190","4.7493","0.37%"
"Apr 10, 1996","4.7676","4.7637","4.8056","4.7300","0.03%"
"Apr 09, 1996","4.7663","4.7221","4.7752","4.7137","0.85%"
"Apr 08, 1996","4.7260","4.7326","4.7442","4.6751","-0.26%"
"Apr 05, 1996","4.7382","4.7178","4.7438","4.7148","0.39%"
"Apr 04, 1996","4.7200","4.7249","4.7343","4.6915","-0.16%"
"Apr 03, 1996","4.7277","4.7387","4.7492","4.6908","-0.30%"
"Apr 02, 1996","4.7419","4.7412","4.7720","4.7044","-0.12%"
"Apr 01, 1996","4.7477","4.7136","4.7589","4.7011","0.65%"
"Mar 29, 1996","4.7170","4.6941","4.7357","4.6758","0.40%"
"Mar 28, 1996","4.6981","4.7322","4.7424","4.6710","-0.84%"
"Mar 27, 1996","4.7377","4.7165","4.7515","4.7042","0.34%"
"Mar 26, 1996","4.7215","4.7152","4.7265","4.6734","0.04%"
"Mar 25, 1996","4.7195","4.7049","4.7255","4.6876","0.14%"
"Mar 22, 1996","4.7130","4.7176","4.7465","4.6806","-0.18%"
"Mar 21, 1996","4.7216","4.7076","4.7378","4.6922","0.21%"
"Mar 20, 1996","4.7119","4.7129","4.7360","4.6948","-0.14%"
"Mar 19, 1996","4.7183","4.7269","4.7546","4.6842","-0.30%"
"Mar 18, 1996","4.7324","4.7011","4.7363","4.6849","0.80%"
"Mar 15, 1996","4.6947","4.6794","4.7205","4.6640","0.33%"
"Mar 14, 1996","4.6792","4.6747","4.6988","4.6670","0.05%"
"Mar 13, 1996","4.6769","4.6832","4.7232","4.6687","-0.19%"
"Mar 12, 1996","4.6856","4.7123","4.7389","4.6536","-0.70%"
"Mar 11, 1996","4.7185","4.7235","4.7367","4.6825","-0.10%"
